Designator,Mid X,Mid Y,Rotation,Layer
C1,204.5,-73.6,0.0,top
C10,205.825,-55.975,180.0,top
C11,221.6,-58.6,90.0,top
C12,222.8,-58.6,90.0,top
C13,215.325,-47.5,0.0,top
C14,211.1,-60.1,90.0,top
C15,212.3,-62.775,270.0,top
C16,203.9,-58.1,0.0,top
C17,211.1,-62.8,270.0,top
C18,199.6,-61.189063,90.0,top
C19,200.8,-61.2,90.0,top
C2,207.05,-49.8,270.0,top
C20,214.0,-62.8,270.0,top
C21,215.2,-62.8,270.0,top
C22,216.2,-55.5,180.0,top
C23,218.0,-59.2,90.0,top
C24,215.4,-72.0,180.0,top
C25,196.6,-69.5,90.0,top
C26,196.6,-50.5,270.0,top
C27,223.4,-50.5,270.0,top
C28,223.4,-69.5,90.0,top
C3,209.675,-71.75,270.0,top
C4,211.374282,-71.755285,270.0,top
C5,203.825,-53.85,270.0,top
C6,213.075,-71.75,270.0,top
C7,215.3,-54.2,0.0,top
C8,204.5,-68.2,0.0,top
C9,214.55,-52.2,90.0,top
D1,210.0,-67.9,180.0,top
D2,212.8,-67.9,180.0,top
D3,222.9,-46.8,315.0,top
D4,197.0875,-46.8,225.0,top
D5,197.1,-73.2,135.0,top
D6,222.9,-73.2,45.0,top
L1,214.55,-49.5,90.0,top
M1,200.0,-50.0,0.0,top
M2,220.0,-50.0,0.0,top
M3,220.0,-70.0,0.0,top
M4,200.0,-70.0,0.0,top
P1,208.0,-75.0,0.0,top
P10,194.9127,-71.0,270.0,top
P11,194.9127,-68.0,270.0,top
P12,195.0127,-49.0,270.0,top
P13,195.0,-52.0,270.0,top
P14,225.0,-49.0,90.0,top
P15,225.0,-52.0,90.0,top
P16,224.9873,-71.0,90.0,top
P17,225.0,-68.0,90.0,top
P2,212.0,-75.0,0.0,top
P3,196.8,-61.7,0.0,top
P4,196.8,-59.6,0.0,top
P5,196.8,-57.5,0.0,top
P6,207.27,-63.0,180.0,bottom
P7,207.27,-65.0,180.0,bottom
P8,207.27,-61.0,180.0,bottom
P9,207.27,-59.0,180.0,bottom
Q1,197.75,-66.05,0.0,top
Q2,197.6,-54.2,270.0,top
Q3,222.25,-53.95,180.0,top
Q4,222.4,-65.785,90.0,top
R1,208.0,-71.7,90.0,top
R10,197.55,-63.75,0.0,top
R11,199.9,-54.0,270.0,top
R12,215.35,-70.8,0.0,top
R13,215.35,-73.2,180.0,top
R14,222.45,-56.25,180.0,top
R15,220.1,-65.975,90.0,top
R16,220.0,-46.8,0.0,top
R17,200.0,-46.8,180.0,top
R18,200.0,-73.225,180.0,top
R19,220.0,-73.1544,0.0,top
R2,220.4,-58.6,90.0,top
R3,210.0,-66.7,0.0,top
R4,212.8,-66.7,0.0,top
R5,209.025,-55.9,180.0,top
R6,221.6,-63.3,0.0,top
R7,219.5,-61.4,90.0,top
R8,200.0,-56.7,0.0,top
R9,210.2,-58.1,0.0,top
U1,210.5,-51.525,270.0,top
U2,204.675,-70.925,90.0,top
U3,221.7,-61.4,180.0,top
U4,214.7,-58.7,0.0,top
U5,206.0,-62.3,0.0,top
Y1,205.85,-53.775,0.0,top
